"","col","meanImp","medianImp","minImp","maxImp","normHits","decision"
"1","num58_num32",12.7560246839037,13.1771531852795,8.48090634149025,14.8738694723752,1,"Confirmed"
"2","num23_num32",12.4222540856203,12.5205185574999,10.3227560370874,13.6823989469634,1,"Confirmed"
"3","num32_num3",11.3389592601828,11.324184971779,9.66998438016861,13.5058012062708,1,"Confirmed"
"4","num6_num32",10.8985978422773,10.9956038623328,9.03167766460219,13.3575823014232,1,"Confirmed"
"5","num5_num32",10.7766930325635,11.1663870664396,8.50561101221264,12.5359477818016,1,"Confirmed"
"6","num23",10.6302885725986,10.5859725999789,8.57644728018108,12.3731709361485,1,"Confirmed"
"7","num32_num18",10.3529087459239,10.6482547000506,7.12916875536705,12.7155275373766,1,"Confirmed"
"8","num43",10.1189242408827,10.2224089050232,7.99331998124303,11.77373726855,1,"Confirmed"
"9","num23_num1",10.0266818613124,10.3260871681684,5.64336794676841,12.3414757786653,1,"Confirmed"
"10","num5_num1",9.95571692903143,10.5642088463813,6.2232206036215,12.3085987897597,1,"Confirmed"
"11","num58",9.84896719729728,10.164623788025,6.96493806602692,12.213948736078,1,"Confirmed"
"12","num18",9.75277577838949,9.84077209424354,6.55290805302189,10.6676461025508,1,"Confirmed"
"13","num58_num1",9.73277886178505,10.1830489526204,6.90569009213899,11.217492676754,1,"Confirmed"
"14","num4_num32",9.62931690794574,9.44208301923562,6.41474139137244,12.898576638402,1,"Confirmed"
"15","num23_num18",9.55578370000793,9.67469560410355,5.97527923712869,11.8964171136599,1,"Confirmed"
"16","num5_num23",9.5180011932299,9.456256807391,8.56186376654537,11.4067106568492,1,"Confirmed"
"17","num19",9.43337298841585,9.48073083757204,6.24841324327782,11.0135918071063,1,"Confirmed"
"18","num3",9.30950096357831,9.22339292601342,8.35715091437943,10.7561879309596,1,"Confirmed"
"19","num1_num3",9.23477518107787,9.26098187711942,7.42298799747963,11.1147197323445,1,"Confirmed"
"20","num2",9.07397228536715,9.23822730775105,4.97264253840483,11.3083045246133,1,"Confirmed"
"21","num38",9.02421541812602,9.22020647982848,5.85294355498878,10.6174069419383,1,"Confirmed"
"22","sq_num32",9.01679281445874,9.74272379339904,4.65625853871688,11.4190454391432,1,"Confirmed"
"23","num23_num3",8.87956969718383,9.21424789425669,3.63456570255648,10.1096980089826,1,"Confirmed"
"24","num32",8.81213154226689,9.12288743192743,4.97904806241987,11.5010473907458,1,"Confirmed"
"25","num10",8.76340955104154,8.89229663178958,6.72602621824139,11.4652371332969,1,"Confirmed"
"26","num6_num23",8.73055232065368,8.88168485056576,7.03954965406605,9.74579726299601,1,"Confirmed"
"27","num32_num1",8.68068593839998,8.89526394093824,3.97921506866595,12.6673236979222,1,"Confirmed"
"28","num4_num1",8.55832510634028,8.94898839332492,5.60270402005757,10.9320582238362,1,"Confirmed"
"29","num18_num3",8.55143064033035,8.59723869673806,7.21572557135236,10.0882569957582,1,"Confirmed"
"30","num6_num3",8.53564357993678,8.73603300101206,5.49116238258922,10.7319453390628,1,"Confirmed"
"31","num11",8.44785060831816,8.80174266654829,3.9892279821278,11.371356651829,1,"Confirmed"
"32","num18_num1",8.44367211348264,9.0679459102514,6.41664093866683,10.1581144349155,1,"Confirmed"
"33","num58_num23",8.38312414362945,8.80271297497855,4.97084070152362,10.2323021389834,1,"Confirmed"
"34","num36",8.35699397476864,8.28306259138457,6.97602764571914,10.4619820540317,1,"Confirmed"
"35","num6_num58",8.35197042519475,8.40335827544831,5.97497433059281,9.99913174186255,1,"Confirmed"
"36","num6",8.32410306089971,8.6501267385987,5.66727643472093,10.4649416066151,1,"Confirmed"
"37","num6_num1",8.27558397739402,8.31395017903506,5.48710078471837,11.9450541560628,1,"Confirmed"
"38","num8",8.24404652529366,8.44298718395233,5.00639499894849,10.3852322965337,1,"Confirmed"
"39","num20",8.20561626548193,8.27286382501523,6.35572070220663,9.58510094358798,1,"Confirmed"
"40","num5",8.04518358700084,8.11340570209983,5.74338684283664,9.61989081249847,1,"Confirmed"
"41","num42",7.97664714603358,8.0019401027103,5.94047916483339,9.53688581988515,1,"Confirmed"
"42","num1",7.90711091330595,8.66674168911286,4.36142581629977,9.81218796625314,1,"Confirmed"
"43","num9",7.85572815382774,7.19067588227802,5.51692019903753,10.650539820387,1,"Confirmed"
"44","num58_num3",7.79712211288973,8.0473461797535,3.16525061697409,10.4240549273983,1,"Confirmed"
"45","num37",7.78404798793949,7.85255738656129,5.36911927576806,9.1603479757604,1,"Confirmed"
"46","num4_num23",7.75274854296227,8.13222259676354,5.94391385467631,9.89114610238636,1,"Confirmed"
"47","num35",7.63069721299368,7.45725367053701,6.12161616293823,9.41056941568947,1,"Confirmed"
"48","num15",7.57942637796003,7.68514660197429,3.57789160205542,11.0636274625298,1,"Confirmed"
"49","sq_num18",7.5172602311223,7.57970985058786,5.2699371010776,8.93471953042256,1,"Confirmed"
"50","num58_num18",7.50252984995065,8.31508264072188,3.41833555251755,9.72040606974906,1,"Confirmed"
"51","sq_num58",7.45978152745815,7.53947254596272,3.40809910103847,9.43336259901607,1,"Confirmed"
"52","num41",7.36269498406591,7.29500596893241,5.37464345474976,9.43427934578845,1,"Confirmed"
"53","num5_num18",7.33750426798194,7.42873885269117,4.47952295039083,10.0140348054969,1,"Confirmed"
